Time,Producer,Primary,Secondary,Decomposer
0,20,5,3,10
1,20,5,3,10
2,20,5,3,10
3,19,5,3,10
4,19,5,3,10
5,19,5,3,10
6,19,5,3,10
7,18,5,3,10
8,17,6,3,10
9,17,5,3,10
10,34,5,1,10
11,34,5,1,10
12,33,5,1,10
13,33,5,1,10
14,33,5,1,10
15,32,5,1,10
16,32,5,0,10
17,30,5,0,10
18,30,5,0,10
19,30,6,0,10
20,29,6,0,10
21,28,6,0,10
22,26,7,0,10
23,26,7,0,10
24,50,7,0,10
25,50,7,0,11
26,48,7,0,11
27,46,9,0,11
28,45,9,0,11
29,43,10,0,12
30,43,10,0,12
31,42,10,0,12
32,40,10,0,12
33,39,10,0,12
34,37,10,0,12
35,37,10,0,12
36,37,10,0,12
37,70,12,0,12
38,67,12,0,12
39,63,13,0,12
40,61,15,0,12
41,58,15,0,12
42,57,16,0,12
43,54,16,0,12
44,49,17,0,12
45,49,17,0,12
46,48,16,0,13
47,45,17,0,14
48,45,19,0,14
49,43,20,0,14
50,41,22,0,11
51,79,23,0,11
52,75,24,0,11
53,72,25,0,11
54,69,25,0,12
55,66,25,0,12
56,66,25,0,12
57,62,27,0,12
58,60,26,0,13
59,56,27,0,14
60,54,28,0,15
61,50,28,0,15
62,46,30,0,15
63,46,31,0,15
64,90,30,0,16
65,86,31,0,17
66,83,30,0,18
67,80,31,0,18
68,77,32,0,18
69,74,31,0,19
70,64,32,0,20
71,55,32,0,21
72,50,35,0,21
73,42,37,0,21
74,34,38,0,21
75,26,40,0,23
76,21,41,0,23
77,35,41,0,23
78,29,41,0,23
79,23,43,0,23
80,16,44,0,23
81,9,45,0,23
82,6,46,0,23
83,5,46,0,23
84,4,47,0,23
85,3,47,0,25
86,3,46,0,25
87,2,44,0,25
88,2,44,0,25
89,2,44,0,25
90,1,45,0,25
91,0,46,0,26
92,0,46,0,27
93,0,44,0,28
94,0,44,0,28
95,0,38,0,28
96,0,36,0,28
97,0,35,0,29
98,0,34,0,29
99,0,34,0,29
100,0,32,0,29
101,0,31,0,30
102,0,28,0,30
103,0,28,0,30
104,0,27,0,30
105,0,22,0,30
106,0,21,0,29
107,0,15,0,29
108,0,15,0,29
109,0,14,0,29
110,0,10,0,24
111,0,6,0,24
112,0,5,0,24
113,0,5,0,22
114,0,5,0,21
115,0,3,0,20
116,0,3,0,20
117,0,3,0,20
118,0,2,0,20
119,0,2,0,20
120,0,1,0,20
121,0,1,0,20
122,0,1,0,20
123,0,1,0,17
124,0,1,0,17
125,0,1,0,17
126,0,0,0,17
127,0,0,0,16
128,0,0,0,16
129,0,0,0,16
130,0,0,0,16
131,0,0,0,16
132,0,0,0,14
133,0,0,0,13
134,0,0,0,9
135,0,0,0,9
136,0,0,0,8
137,0,0,0,8
138,0,0,0,8
139,0,0,0,8
140,0,0,0,7
141,0,0,0,7
142,0,0,0,6
143,0,0,0,6
144,0,0,0,6
145,0,0,0,6
146,0,0,0,6
147,0,0,0,4
148,0,0,0,4
149,0,0,0,3
150,0,0,0,1
151,0,0,0,1
152,0,0,0,1
153,0,0,0,1
154,0,0,0,1
155,0,0,0,1
156,0,0,0,1
157,0,0,0,1
158,0,0,0,1
159,0,0,0,1
160,0,0,0,1
161,0,0,0,1
162,0,0,0,1
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
